English,IPA,Vietnamese
advance,əd'vɑ:ns,sự tiến bộ tiến lên; đưa lên đề xuất
advanced,əd'vɑ:nst,tiên tiến tiến bộ cấp cao
advantage,əb'vɑ:ntidʤ,sự thuận lợi lợi ích lợi thế
adventure,əd'ventʃə,sự phiêu lưu mạo hiểm
advertise,ædvətaiz,báo cho biết báo cho biết trước
advice,əd'vais,lời khuyên lời chỉ bảo
advise,əd'vaiz,khuyên khuyên bảo răn bảo
affair,ə'feə,việc
affect,ə'fekt,làm ảnh hưởng tác động đến
afford,ə'fɔ:d,có thể có đủ khả năng điều kiện (làm gì)
afraid,ə'freid,sợ sợ hãi hoảng sợ
after,ɑ:ftə,sau đằng sau sau khi
afternoon,ɑ:ftə'nu:n,buổi chiều
afterwards,ɑ:ftəwəd,sau này về sau rồi thì sau đấy
again,ə'gen,lại nữa lần nữa
against,ə'geinst,chống lại phản đối
age,eidʤ,tuổi
aged,eidʤid,già đi (v)
agency,eidʤənsi,tác dụng lực; môi giới trung gian
agent,eidʤənt,đại lý tác nhân
aggressive,ə'gresiv,xâm lược hung hăng (US: xông xáo)
ago,ə'gou,trước đây
agree,ə'gri:,đồng ý tán thành
agreement,ə'gri:mənt,sự đồng ý tán thành; hiệp định hợp đồng
ahead,ə'hed,trước về phía trước
aid,eid,sự giúp đỡ; thêm vào phụ vào
aim,eim,sự nhắm (bắn) mục tiêu ý định; nhắm tập trung hướng vào
air,eə,không khí bầu không khí không gian
aircraft,eəkrɑ:ft,máy bay khí cầu
alarm,ə'lɑ:m,báo động báo nguy
alarming,ə'lɑ:miɳ,làm lo sợ làm hốt hoảng làm sợ hãi
alcohol,ælkəhɔl,rượu cồn
alcoholic,ælkə'hɔlik,rượu; người nghiện rượu
alive,ə'laiv,sống vẫn còn sống còn tồn tại
all,ɔ:l,tất cả
allow,ə'lau,cho phép để cho
all right exclamation,ɔ:l'rait,tốt ổn khỏe mạnh; được
ally,æli,nước đồng minh liên minh; liên kết lien minh kết thông gia
allied,ə'laid,lien minh đồng minh thông gia
almost,ɔ:lmoust,hầu như gần như
alone,ə'loun,cô đơn một mình
along,ə'lɔɳ,dọc theo theo; theo chiều dài suốt theo
alongside,ə'lɔɳ'said,sát cạnh kế bên dọc theo
aloud,ə'laud,lớn tiếng to tiếng
alphabet,ælfəbit,bảng chữ cái bước đầu điều cơ bản
alphabetical,æflə'betikl,thuộc bảng chứ cái
alphabetically,ælfə'betikəli,theo thứ tự abc
already,ɔ:l'redi,đã rồi đã… rồi
also,ɔ:lsou,cũng cũng vậy cũng thế
alter,ɔ:ltə,thay đổi biến đổi sửa đổi
alternative,ɔ:l'tə:nətiv,sự lựa chọn; lựa chọn
although,ɔ:l'ðou,mặc dù dẫu cho
altogether,ɔ:ltə'geðə,hoàn toàn hầu như; nói chung
always,ɔ:lwəz,luôn luôn
amaze,ə'meiz,làm ngạc nhiên làm sửng sốt
amazing,ə'meiziɳ,kinh ngạc sửng sốt
amazed,ə'meiz,kinh ngạc sửng sốt
ambulance,æmbjuləns,xe cứu thương xe cấp cứu
among (also amongst),ə'mʌɳ,giữa ở giữa
amount,ə'maunt,số lượng số nhiều; lên tới (money)
amuse,ə'mju:z,làm cho vui thích làm buồn cười
amusing,ə'mju:ziɳ,vui thích
amused,ə'mju:zd,vui thích
analyse (BrE) (NAmE analyze),ænəlaiz,phân tích
analysis,ə'næləsis,sự phân tích
ancient,einʃənt,xưa cổ
and,ænd ənd ən,và
anger,æɳgə,sự tức giận sự giận dữ
angle,æɳgl,góc
angry,æɳgri,giận tức giận
angrily,æɳgrili,tức giận giận dữ
animal,æniməl,động vật thú vật
ankle,æɳkl,mắt cá chân
anniversary,æni'və:səri,ngày lễ kỉ niệm
announce,ə'nauns,báo thông báo
annoy,ə'nɔi,chọc tức làm bực mình; làm phiền quẫy nhiễu
annoying,ə'nɔiiɳ,chọc tức làm bực mình; làm phiền quẫy nhiễu
annoyed,ə'nɔid,bị khó chịu bực mình bị quấy rầy
annual,ænjuəl,hàng năm từng năm
annually,ænjuəli,hàng năm từng năm
another,ə'nʌðə,khác
answer,ɑ:nsə,sự trả lời; trả lời
anticipate,æn'tisipeit,thấy trước chặn trước lường trước
anxiety,æɳ'zaiəti,mối lo âu sự lo lắng
anxious,æɳkʃəs,lo âu lo lắng băn khoăn
anxiously,æɳkʃəsli,lo âu lo lắng băn khoăn
anyone (also anybody),eniwʌn,người nào bất cứ ai
anything,eniθiɳ,việc gì vật gì; bất cứ việc gì vật gì
anyway,eniwei,thế nào cũng được dù sao chăng nữa
anywhere,eniweə,bất cứ chỗ nào bất cứ nơi đâu
apart,ə'pɑ:t,về một bên qua một bên
apartment (especially NAmE),ə'pɑ:tmənt,căn phòng căn buồng
apologize (BrE also -ise),ə'pɔlədʤaiz,xin lỗi tạ lỗi
apparent,ə'pærənt,rõ ràng rành mạch; bề ngoài có vẻ
appeal,ə'pi:l,sự kêu gọi lời kêu gọi; kêu gọi cầu khẩn
appear,ə'piə,xuất hiện hiện ra trình diện
appearance,ə'piərəns,sự xuất hiện sự trình diện
apple,æpl,quả táo
application,æpli'keiʃn,sự gắn vào vật gắn vào; sự chuyên cần chuyên tâm
apply,ə'plai,gắn vào ghép vào áp dụng vào
appoint,ə'pɔint,bổ nhiệm chỉ định chọn
appointment,ə'pɔintmənt,sự bổ nhiệm người được bổ nhiệm
appreciate,ə'pri:ʃieit,thấy rõ; nhận thức
approach,ə'proutʃ,đến gần lại gần; sự đến gần sự lại gần
appropriate (+to for),ə'proupriit,thích hợp thích đáng
approval,ə'pru:vəl,sự tán thành đồng ý sự chấp thuận
approve (of),ə'pru:v,tán thành đồng ý chấp thuận
approving,ə'pru:viɳ,tán thành đồng ý chấp thuận
approximate (to),ə'prɔksimit,giống với giống hệt với
approximately,ə'prɔksimitli,khoảng chừng độ chừng
April (abbr Apr),eiprəl,tháng Tư
area,eəriə,diện tích bề mặt
argue,ɑ:gju:,chứng tỏ chỉ rõ
argument,ɑ:gjumənt,lý lẽ
arise,ə'raiz,xuất hiện nảy ra nảy sinh ra
arm,ɑ:m,cánh tay; vũ trang trang bị (vũ khí)
armed,ɑ:md,vũ trang
army,ɑ:mi,quân đội
around,ə'raund,xung quanh vòng quanh
arrange,ə'reindʤ,sắp xếp sắp đặt sửa soạn
arrangement,ə'reindʤmənt,sự sắp xếp sắp đặt sự sửa soạn
arrest,ə'rest,bắt giữ sự bắt giữ
arrival,ə'raivəl,sự đến sự tới nơi
arrive (+at in),ə'raiv,đến tới nơi
arrow,ærou,tên mũi tên
art,ɑ:t,nghệ thuật mỹ thuật
article,ɑ:tikl,bài báo đề mục
artificial,ɑ:ti'fiʃəl,nhân tạo
artificially,ɑ:ti'fiʃəli,nhân tạo
artist,ɑ:tist,nghệ sĩ
artistic,ɑ:'tistik,thuộc nghệ thuật thuộc mỹ thuật
as,æz əz,như (as you know…)
ashamed,ə'ʃeimd,ngượng xấu hổ
aside,ə'said,về một bên sang một bên
apart from,ə'pɑ:t,ngoài… ra
ask,ɑ:sk,hỏi
asleep,ə'sli:p,ngủ đang ngủ
aspect,æspekt,vẻ bề ngoài diện mạo
assist,ə'sist,giúp giúp đỡ; tham dự có mặt
assistance,ə'sistəns,sự giúp đỡ
assistant,ə'sistənt,người giúp đỡ người phụ tá; giúp đỡ phụ tá
associate,ə'souʃiit,kết giao liên kết kết hợp cho cộng tác
association,əsousi'eiʃn,sự kết hợp sự liên kết
assume,ə'sju:m,mang khoác có lấy (cái vẻ tính chất…)
assure,ə'ʃuə,đảm bảo cam đoan
atmosphere,ætməsfiə,khí quyển
atom,ætəm,nguyên tử
attach,ə'tætʃ,gắn dán trói buộc
attack,ə'tæk,sự tấn công sự công kích; tấn công công kích
attempt,ə'tempt,sự cố gắng sự thử; cố gắng thử
attempted,ə'temptid,cố gắng thử
attend,ə'tend,dự có mặt
attention,ə'tenʃn,sự chú ý
attitude,ætitju:d,thái độ quan điểm
attorney (especially NAmE),ə'tə:ni,người được ủy quyền
attract,ə'trækt,hút; thu hút hấp dẫn
attraction,ə'trækʃn,sự hút sức hút
attractive,ə'træktiv,hút thu hút có duyên lôi cuốn
audience,ɔ:djəns,thính khan giả
August (abbr Aug),ɔ:gəst - ɔ:'gʌst,tháng Tám
aunt,ɑ:nt,cô dì
author,ɔ:θə,tác giả
authority,ɔ:'θɔriti,uy quyền quyền lực
automatic,ɔ:tə'mætik,tự động
autumn (especially BrE),ɔ:təm,mùa thu (US: mùa thu là fall)
available,ə'veiləbl,có thể dùng được có giá trị hiệu lực
average,ævəridʤ,trung bình số trung bình mức trung bình
avoid,ə'vɔid,tránh tránh xa
awake,ə'weik,đánh thức làm thức dậy
award,ə'wɔ:d,phần thưởng; tặng thưởng
aware,ə'weə,biết nhận thức nhận thức thấy
away,ə'wei,xa xa cách rời xa đi xa
awful,ɔ:ful,oai nghiêm dễ sợ
awkward,ɔ:kwəd,vụng về lung túng
back,bæk,lưng về phía sau trở lại
background,bækgraund,phía sau; nền
backward,bækwəd,về phía sau lùi lại
bacteria,bæk'tiəriəm,vi khuẩn
bad,bæd,xấu tồi
badly,bædli,xấu tồi
bad-tempered,bæd'tempəd,xấu tính dễ nổi cáu
bag,bæg,bao túi cặp xách
baggage (especially NAmE),bædidʤ,hành lý
bake,beik,nung nướng bằng lò
balance,bæləns,cái cân; làm cho cân bằng tương xứng
ball,bɔ:l,quả bóng
ban,bæn,cấm cấm chỉ; sự cấm
band,bænd,băng đai nẹp
bandage,bændidʤ,dải băng; băng bó
bank,bæɳk,bờ (sông…) đê
bar,bɑ:,quán bán rượu
bargain,bɑ:gin,sự mặc cả sự giao kèo mua bán
barrier,bæriə,đặt chướng ngại vật
base,beis,cơ sở cơ bản nền móng; đặt tên đặt cơ sở trên cái gì
basic,beisik,cơ bản cơ sở
basically,beisikəli,cơ bản về cơ bản
basis,beisis,nền tảng cơ sở
bath,bɑ:θ,sự tắm
battery,bætəri,pin ắc quy
battle,bætl,trận đánh chiến thuật
bay,bei,gian (nhà) nhịp (cầu) chuồng (ngựa); bays: vòng nguyệt quế
beach,bi:tʃ,bãi biển
beak,bi:k,mỏ chim
bear,beə,mang cầm vác đeo ôm
beard,biəd,râu
beat,bi:t,tiếng đập sự đập; đánh đập đấm
beautiful,bju:təful,đẹp
beautifully,bju:təfuli,tốt đẹp đáng hài lòng
beauty,bju:ti,vẻ đẹp cái đẹp; người đẹp
because,bi'kɔz,bởi vì vì
become,bi'kʌm,trở thành trở nên
bed,bed,cái giường
bedroom,bedrum,phòng ngủ
beef,bi:f,thịt bò
beer,bi:ə,rượu bia
before,bi'fɔ:,trước đằng trước
begin,bi'gin,bắt đầu khởi đầu
beginning,bi'giniɳ,phần đầu lúc bắt đầu lúc khởi đầu
behalf,bi:hɑ:f,sự thay mặt
behave,bi'heiv,đối xử ăn ở cư xử
behind,bi'haind,sau ở đằng sau
belief,bi'li:f,lòng tin đức tin sự tin tưởng
believe,bi'li:v,tin tin tưởng
bell,bel,cái chuông tiếng chuông
belong,bi'lɔɳ,thuộc về của thuộc quyền sở hữu
below,bi'lou,ở dưới dưới thấp phía dưới
belt,belt,dây lưng thắt lưng
bend,bentʃ,chỗ rẽ chỗ uốn; khuỷu tay; cúi xuống uốn cong
bent,bent,khiếu sở thích khuynh hướng
beneath,bi'ni:θ,ở dưới dưới thấp
benefit,benifit,lợi lợi ích; giúp ích làm lợi cho
beside,bi'said,bên cạnh so với
bet,bet,đánh cuộc cá cược; sự đánh cuộc
betting,beting,sự đánh cuộc
better best,betə best,tốt hơn tốt nhất
good well,gud wel,tốt khỏe
between,bi'twi:n,giữa ở giữa
beyond,bi'jɔnd,ở xa phía bên kia
bicycle (also bike),baisikl,xe đạp
bid,bid,đặt giá trả giá; sự đặt giá sự trả giá
big,big,to lớn
bill,bil,hóa đơn giấy bạc
bin (BrE),bin,thùng thùng đựng rượu
biology,bai'ɔlədʤi,sinh vật học
bird,bə:d,chim
birth,bə:θ,sự ra đời sự sinh đẻ
birthday,bə:θdei,ngày sinh sinh nhật
biscuit (BrE),biskit,bánh quy
bit (especially BrE),bit,miếng mảnh
bite,bait,cắn ngoạm; sự cắn sự ngoạm
bitter,bitə,đắng; đắng cay chua xót
bitterly,bitəli,đắng đắng cay chua xót
black,blæk,đen; màu đen
blade,bleid,lưỡi (dao kiếm); lá (cỏ cây); mái (chèo); cánh (chong chóng)
blame,bleim,khiển trách mắng trách; sự khiển trách sự mắng trách
blank,blæɳk,trống để trắng; sự trống rỗng
blankly,blæɳkli,ngây ra không có thần
blind,blaind,đui mù
block,blɔk,khối tảng (đá); làm ngăn cản ngăn chặn
blonde blond,blɔnd,hoe vàng mái tóc hoe vàng
blood,blʌd,máu huyết; sự tàn sát chem giết
blow,blou,nở hoa; sự nở hoa
blue,blu:,xanh màu xanh
board,bɔ:d,tấm ván; lát ván lót ván
boat,bout,tàu thuyền
body,bɔdi,thân thể thân xác
boil,bɔil,sôi luộc
bomb,bɔm,quả bom; oánh bom thả bom
bone,boun,xương
book,buk,sách; ghi chép
boot,bu:t,giày ống
border,bɔ:də,bờ mép vỉa lề (đường)
bore,bɔ:,buồn chán buồn tẻ
boring,bɔ:riɳ,buồn chán
born: be born,bɔ:n,sinh đẻ
borrow,bɔrou,vay mượn
boss,bɔs,ông chủ thủ trưởng
both,bouθ,cả hai
bother,bɔðə,làm phiền quấy rầy làm bực mình
bottle,bɔtl,chai lọ
bottom,bɔtəm,phần dưới cùng thấp nhất; cuối cuối cùng
bound : bound to,baund,nhất định chắc chắn
bowl,boul,cái bát
box,bɔks,hộp thùng
boy,bɔi,con trai thiếu niên
brain,brein,óc não; đầu óc trí não
branch,brɑ:ntʃ,ngành; nhành cây nhánh song ngả đường
brand,brænd,nhãn (hàng hóa)
brave,breiv,gan dạ can đảm
bread,bred,bánh mỳ
break,breik,bẻ gãy đập vỡ; sự gãy sự vỡ
broken,broukən,bị gãy bị vỡ
breakfast,brekfəst,bữa điểm tâm bữa sáng
breast,brest,ngực vú
breath,breθ,hơi thở hơi
breathe,bri:ð,hít thở
breathing,bri:ðiɳ,sự hô hấp sự thở
breed,bri:d,nuôi dưỡng chăm sóc giáo dục; sinh đẻ; nòi giống
brick,brik,gạch
bridge,bridʤ,cái cầu
brief,bri:f,ngắn gọn vắn tắt
briefly,bri:fli,ngắn gọn vắn tắt tóm tắt
bright,brait,sáng sáng chói
brightly,braitli,sáng chói tươi
brilliant,briljənt,tỏa sáng rực rỡ chói lọi
bring,briɳ,mang cầm xách lại
broad,broutʃ,rộng
broadly,brɔ:dli,rộng rộng rãi
broadcast,brɔ:dkɑ:st,tung ra khắp nơitruyền rộng rãi; phát thanh quảng bá
brother,brΔðз,anh em trai
brown,braun,nâu màu nâu
brush,brΔ∫,bàn chải; chải quét
bubble,bΔbl,bong bóng bọt tăm
budget,ˈbʌdʒɪt,ngân sách
build,bild,xây dựng
building,bildiŋ,sự xây dựng công trình xây dựng; tòa nhà binđinh
bullet,bulit,đạn (súng trường súng lục)
bunch,bΛnt∫,búi chùm bó cụm buồng; bầy đàn (AME)
burn,bə:n,đốt đốt cháy thắp nung thiêu
burnt,bə:nt,bị đốt bị cháy khê; rám nắng sạm (da)
burst,bə:st,nổ nổ tung (bom đạn); nổ vỡ (bong bóng); háo hức
bury,beri,chôn cất mai táng
bus,bʌs,xe buýt
bush,bu∫,bụi cây bụi rậm
business,bizinis,việc buôn bán thương mại kinh doanh
busy,´bizi,bận bận rộn
but,bʌt,nhưng
butter,bʌtə,bơ
button,bʌtn,cái nút cái khuy cúc
buy,bai,mua
buyer,´baiə,người mua
by,bai,bởi bằng
bye exclamation,bai,tạm biệt
cent,sent,đồng xu (bằng 1
cabinet,kæbinit,tủ có nhiều ngăn đựng đồ
cable,keibl,dây cáp
cake,keik,bánh ngọt
calculate,kælkjuleit,tính toán
calculation,kælkju'lei∫n,sự tính toán
call,kɔ:l,gọi; tiếng kêu tiếng gọi
calm,kɑ:m,yên lặng làm dịu đi; sự yên lặng sự êm ả
calmly,kɑ:mli,yên lặng êm ả; bình tĩnh điềm tĩnh
camera,kæmərə,máy ảnh
camp,kæmp,trại chỗ cắm trại; cắm trại hạ trại
camping,kæmpiη,sự cắm trại
campaign,kæmˈpeɪn,chiến dịch cuộc vận động
can modal,kæn,có thể; nhà tù nhà giam bình ca đựng
could modal,kud,có thể
cancel,´kænsəl,hủy bỏ xóa bỏ
cancer,kænsə,bệnh ung thư
candidate,kændidit,người ứng cử thí sinh người dự thi
candy (NAmE),´kændi,kẹo
cap,kæp,mũ lưỡi trai mũ vải
capable (of),keipəb(ə)l,có tài có năng lực; có khả năng cả gan
capacity,kə'pæsiti,năng lực khả năng tiếp thu năng suất
capital,ˈkæpɪtl,thủ đô tiền vốn; chủ yếu chính yếu cơ bản
captain,kæptin,người cầm đầu người chỉ huy thủ lĩnh
capture,kæptʃə,bắt giữ bắt; sự bắt giữ sự bị bắt
car,kɑ:,xe hơi
card,kɑ:d,thẻ thiếp
cardboard,´ka:d¸bɔ:d,bìa cứng các tông
care,kɛər,sự chăm sóc chăm nom; chăm sóc
career,kə'riə,nghề nghiệp sự nghiệp
careful,keəful,cẩn thận cẩn trọng biết giữ gìn
carefully,´kɛəfuli,cẩn thận chu đáo
careless,´kɛəlis,sơ suất cầu thả
carpet,kɑ:pit,tấm thảm thảm (cỏ)
carrot,´kærət,củ cà rốt
carry,ˈkæri,mang vác khuân chở
case,keis,vỏ ngăn túi
cash,kæʃ,tiền tiền mặt
cast,kɑ:st,quăng ném thả đánh gục; sự quăng sự ném (lưới) sự thả (neo)
castle,kɑ:sl,thành trì thành quách
cat,kæt,con mèo
catch,kætʃ,bắt lấy nắm lấy tóm lấy chộp lấy
category,kætigəri,hạng loại; phạm trù
cause,kɔ:z,nguyên nhân nguyên do; gây ra gây nên
cease,si:s,dừng ngừng ngớt thôi hết tạnh
ceiling,ˈsilɪŋ,trần nhà
celebrate,selibreit,kỷ niệm làm lễ kỷ niệm; tán dương ca tụng
celebration,seli'breiʃn,sự kỷ niệm lễ kỷ niệm; sự tán dương sự ca tụng
cell,sel,ô ngăn
cent (abbr c ct),sent,đồng xu (=1
central,´sentrəl,trung tâm ở giữa trung ương
centre (BrE) (NAmE center),sentə,điểm giữa trung tâm trung ương
century,sentʃuri,thế kỷ
ceremony,´seriməni,nghi thức nghi lễ
certain,sə:tn,chắc chắn
certainly,´sə:tnli,chắc chắn nhất định
uncertain,ʌn'sə:tn,thiếu chính xác không chắc chắn
certificate,sə'tifikit,giấy chứng nhận bằng chứng chỉ
chain,tʃeɪn,dây xích; xính lại trói lại
chair,tʃeə,ghế
chairman chairwoman,tʃeəmən,
challenge,tʃælindʤ,sự thử thách sự thách thức; thách thức thử thách
chamber,ˈtʃeɪmbər,buồng phòng buồng ngủ
chance,tʃæns tʃɑ:ns,sự may mắn
change,tʃeɪndʒ,thay đổi sự thay đổi sự biến đổi
channel,tʃænl,kênh (TV radio) eo biển
chapter,t∫æptə(r),chương (sách)
character,kæriktə,tính cách đặc tính nhân vật
characteristic,¸kærəktə´ristik,riêng riêng biệt đặc trưng đặc tính đặc điểm
charge,tʃɑ:dʤ,nhiệm vụ bổn phận trách nhiệm; giao nhiệm vụ giao việc
charity,´tʃæriti,lòng từ thiện lòng nhân đức; sự bố thí
chart,tʃa:t,đồ thị biểu đồ; vẽ đồ thị lập biểu đồ
chase,tʃeis,săn bắt; sự săn bắt
chat,tʃæt,nói chuyện tán gẫu; chuyện phiếm chuyện gẫu
cheap,tʃi:p,rẻ
cheat,tʃit,lừa lừa đảo; trò lừa đảo trò gian lận
check,tʃek,kiểm tra; sự kiểm tra
cheek,´tʃi:k,má
cheerful,´tʃiəful,vui mừng phấn khởi hồ hởi
cheese,tʃi:z,pho mát
chemical,ˈkɛmɪkəl,thuộc hóa học; chất hóa học hóa chất
chemist,´kemist,nhà hóa học
chemistry,´kemistri,hóa học môn hóa học ngành hóa học
cheque (BrE) (NAmE check),t∫ek,séc
chest,tʃest,tủ rương hòm
chew,tʃu:,nhai ngẫm nghĩ
chicken,ˈtʃɪkin,gà gà con thịt gà
chief,tʃi:f,trọng yếu chính yếu; thủ lĩnh lãnh tụ người đứng đầu xếp
child,tʃaild,đứa bé đứa trẻ
chin,tʃin,cằm
chip,tʃip,vỏ bào mảnh vỡ chỗ sứt mẻ
chocolate,ˈtʃɒklɪt,sô cô la
choice,tʃɔɪs,sự lựa chọn
choose,t∫u:z,chọn lựa chọn
chop,tʃɔp,chặt đốn chẻ
church,tʃə:tʃ,nhà thờ
cigarette,¸sigə´ret,điếu thuốc lá
cinema (especially BrE),ˈsɪnəmə,rạp xi nê rạp chiếu bóng
circle,sə:kl,đường tròn hình tròn
circumstance,ˈsɜrkəmˌstæns ˈsɜrkəmˌstəns,hoàn cảnh trường hợp tình huống
citizen,´sitizən,người thành thị
city,si:ti,thành phố
civil,sivl,(thuộc) công dân
claim,kleim,đòi hỏi yêu sách; sự đòi hỏi sự yêu sách sự thỉnh cầu
clap,klæp,vỗ vỗ tay; tiếng nổ tiếng vỗ tay
class,klɑ:s,lớp học
classic,klæsik,cổ điển kinh điển
classroom,klα:si,lớp học phòng học
clean,kli:n,sạch sạch sẽ;
clearly,´kliəli,rõ ràng sáng sủa
clerk,kla:k,thư ký linh mục mục sư
clever,klevə,lanh lợi thông minh tài giỏi khéo léo
click,klik,làm thành tiếng lách cách; tiếng lách cách cú nhắp (chuột)
client,´klaiənt,khách hàng
climate,klaimit,khí hậu thời tiết
climb,klaim,leo trèo
climbing,´klaimiη,sự leo trèo
clock,klɔk,đồng hồ
close NAmE,klouz,đóng kín chật chội che đậy
closely,´klousli,chặt chẽ kỹ lưỡng tỉ mỉ
closed,klouzd,bảo thủ không cởi mở khép kín
closet (especially NAmE),klozit,buồng phòng để đồ phòng kho
cloth,klɔθ,vải khăn trải bàn áo thầy tu
clothes,klouðz,quần áo
clothing,´klouðiη,quần áo y phục
cloud,klaud,mây đám mây
club,´klʌb,câu lạc bộ; gậy dùi cui
centimetre,sentimi:tз,xen ti mét
coach,koʊtʃ,huấn luyện viên
coal,koul,than đá
coast,koust,sự lao dốc; bờ biển
coat,koʊt,áo choàng
code,koud,mật mã luật điều lệ
coffee,kɔfi,cà phê
coin,kɔin,tiền kim loại
cold,kould,lạnh sự lạnh lẽo lạnh nhạt
coldly,kouldli,lạnh nhạt hờ hững vô tâm
collapse,kз'læps,đổ sụp đổ; sự đổ nát sự sụp đổ
colleague,ˈkɒlig,bạn đồng nghiệp
collect,kə´lekt,sưu tập tập trung lại
collection,kəˈlɛkʃən,sự sưu tập sự tụ họp
college,kɔlidʤ,trường cao đẳng trường đại học
colour (BrE) (NAmE color),kʌlə,màu sắc; tô màu
coloured (BrE) (NAmE colored),´kʌləd,mang màu sắc có màu sắc
column,kɔləm,cột mục (báo)
combination,kɔmbi'neiʃn,sự kết hợp sự phối hợp
combine,kɔmbain,kết hợp phối hợp
come,kʌm,đến tới đi đến đi tới
comedy,´kɔmidi,hài kịch
comfort,kΔmfзt,sự an ủi khuyên giải lời động viên sự an nhàn; dỗ dành an
comfortable,kΔmfзtзbl,thoải mái tiện nghi đầy đủ
comfortably,´kʌmfətəbli,dễ chịu thoải mái tiện nghi ấm cúng
uncomfortable,ʌη´tkʌmfətəbl,bất tiện khó chịu không thoải mái
command,kə'mɑ:nd,ra lệnh chỉ huy; lệnh mệnh lệnh quyền ra lệnh quyền
comment,ˈkɒment,lời bình luận lời chú giải; bình luận phê bình chú thích
commercial,kə'mə:ʃl,buôn bán thương mại
commission,kəˈmɪʃən,hội đồng ủy ban sự ủy nhiệm sự ủy thác; ủy nhiệm ủy
commit,kə'mit,giao gửi ủy nhiệm ủy thác; tống giam bỏ tù
commitment,kə'mmənt,sự phạm tội sự tận tụy tận tâm
committee,kə'miti,ủy ban
common,kɔmən,công công cộng thông thường phổ biến
commonly,´kɔmənli,thông thường bình thường
communicate,kə'mju:nikeit,truyền truyền đạt; giao thiệp liên lạc
communication,kəmju:ni'keiʃn,sự giao tiếp liên lạc sự truyền đạt truyền tin
community,kə'mju:niti,dân chúng nhân dân
company,´kʌmpəni,công ty
compare,kəm'peə(r),so sánh đối chiếu
comparison,kəm'pærisn,sự so sánh
compete,kəm'pi:t,đua tranh ganh đua cạnh tranh
competition,kɔmpi'tiʃn,sự cạnh tranh cuộc thi cuộc thi đấu
competitive,kəm´petitiv,cạnh tranh đua tranh
complain,kəm´plein,phàn nàn kêu ca
complaint,kəmˈpleɪnt,lời than phiền than thở; sự khiếu nại đơn kiện
complete,kəm'pli:t,hoàn thành xong;
completely,kзm'pli:tli,hoàn thành đầy đủ trọn vẹn
complex,kɔmleks,phức tạp rắc rối
complicate,komplikeit,làm phức tạp rắc rối
complicated,komplikeitid,phức tạp rắc rối
computer,kəm'pju:tə,máy tính
concentrate,kɔnsentreit,tập trung
concentration,kɒnsn'trei∫n,sự tập trung nơi tập trung
concept,ˈkɒnsept,khái niệm
concern,kən'sз:n,liên quan dính líu tới; sự liên quan sự dính líu tới
concerned,kən´sə:nd,có liên quan có dính líu
concerning,kən´sə:niη,bâng khuâng ái ngại
concert,kən'sə:t,buổi hòa nhạc
